feature,importance
賣超第3名分點前4天買均價,16
買超第15名分點前18天賣均價,16
賣超第3名分點前13天賣均張,16
賣超第4名分點前12天賣金額(千),16
買超第10名分點前9天金額增減(千),16
買超第15名分點金額增減(千),16
賣超第7名分點買均價,16
買超第7名分點前11天金額增減(千),15
買超第7名分點前7天買筆數,15
賣超第12名分點前12天買均價,15
賣超第1名分點前17天賣筆數,15
賣超第12名分點前4天賣均值(千),15
買超第1名分點前4天買金額(千),15
個股券商分點區域分析_近60日賣超5分點間接近比例,15
賣超第2名分點前15天賣筆數,15
買超第1名分點前4天買筆數,15
買超第8名分點前6天買均值(千),15
賣超第14名分點前9天賣均值(千),15
個股券商分點區域分析_近60日成交3公司區域密度,15
賣超第14名分點前13天賣均張,14
買超第14名分點前7天賣均價,14
買超第13名分點金額增減(千),14
賣超第10名分點前18天金額增減(千),14
賣超第11名分點前14天買筆數,14
買超第3名分點前9天買金額(千),14
買超第2名分點前5天賣筆數,14
賣超第13名分點前8天賣均張,14
賣超第1名分點前2天金額增減(千),14
買超第4名分點前12天買筆數,14
賣超第2名分點前17天買均價,14
賣超第15名分點前11天賣均價,14
賣超第6名分點前14天買筆數,14
賣超第5名分點前1天賣張,14
個股券商分點區域分析_近1日成交5分點間接近比例,14
外資券商_前3天分點出貨比(%),14
賣超第2名分點前10天賣張,14
買超第5名分點前18天買筆數,14
賣超第14名分點前4天買均價,14
買超第3名分點前18天張增減,14
賣超第10名分點前2天賣筆數,13
賣超第14名分點前12天賣筆數,13
買超第3名分點前8天券商代號,13
買超第11名分點前12天賣均價,13
買超第1名分點前1天買筆數,13
買超第8名分點買筆數,13
賣超第5名分點前16天賣筆數,13
賣超第3名分點前9天賣筆數,13
賣超第13名分點前6天賣筆數,13
賣超第1名分點前7天賣張,13
賣超第1名分點前13天買均價,13
買超第10名分點前19天賣均價,13
賣超第10名分點前3天賣筆數,13
賣超第8名分點前3天賣均張,13
賣超第1名分點前1天買均價,13
買超第3名分點前7天賣均張,13
賣超第10名分點前1天券商代號,13
買超第4名分點前2天買筆數,13
買超第14名分點前15天買均張,13
買超第6名分點張增減,13
賣超第4名分點前8天賣筆數,13
賣超第10名分點前2天買張,12
賣超第3名分點前1天買筆數,12
賣超第10名分點前17天賣均值(千),12
外資券商_前6天分點吃貨比(%),12
賣超第12名分點前15天金額增減(千),12
賣超第12名分點前8天賣均值(千),12
買超第9名分點前10天買均張,12
買超第9名分點賣均價,12
賣超第8名分點前18天賣均張,12
賣超第12名分點前1天賣筆數,12
賣超第12名分點前18天買均價,12
買超第4名分點前8天買筆數,12
賣超第6名分點前17天買筆數,12
買超第12名分點前11天買筆數,12
買超第6名分點前14天賣筆數,12
買超第2名分點前6天買筆數,12
賣超第2名分點前12天賣金額(千),12
買超第8名分點前13天買均張,12
買超第12名分點前3天賣均價,12
買超第1名分點前2天買筆數,12
賣超第15名分點前19天賣均張,12
買超第14名分點前1天賣筆數,12
賣超第3名分點前16天買均價,12
買超第9名分點前8天買筆數,12
買超第10名分點前4天賣均價,12
買超第7名分點前15天張增減,11
賣超第8名分點前16天買均價,11
買超第7名分點前5天買筆數,11
賣超第2名分點前18天賣筆數,11
買超第9名分點前14天張增減,11
買超第5名分點前15天買筆數,11
賣超第2名分點前14天賣筆數,11
買超第4名分點前14天金額增減(千),11
賣超第7名分點前5天賣筆數,11
買超第2名分點前16天買筆數,11
賣超第11名分點前15天賣筆數,11
個股券商分點區域分析_近20日賣超5分點間接近比例,11
賣超第12名分點前4天賣均張,11
買超第14名分點前2天買張,11
賣超第7名分點前19天買均價,11
賣超第2名分點前10天買均張,11
買超第3名分點前10天買筆數,11
買超第8名分點前10天買筆數,11
買超第6名分點前18天買筆數,11
買超第10名分點前12天賣均價,11
賣超第5名分點前18天賣均值(千),11
賣超第1名分點前4天買均值(千),11
賣超第5名分點前9天賣筆數,11
買超第9名分點前19天買金額(千),11
買超第4名分點前17天買金額(千),11
買超第13名分點前1天買筆數,11
賣超第11名分點前1天賣筆數,11
買超第13名分點前16天張增減,11
賣超第6名分點前7天張增減,11
買超第8名分點前9天賣均價,11
買超第2名分點賣筆數,11
買超第13名分點前20天買金額(千),11
賣超第14名分點賣筆數,11
買超第10名分點前18天買均價,11
賣超第3名分點前10天金額增減(千),11
買超第12名分點前19天賣筆數,11
賣超第5名分點前19天張增減,11
賣超第13名分點前14天賣均張,11
賣超第1名分點賣筆數,10
買超第15名分點買筆數,10
賣超第1名分點前11天買均張,10
買超第7名分點前4天買筆數,10
賣超第1名分點前17天買均張,10
賣超第5名分點前11天買筆數,10
買超第10名分點前11天賣均價,10
賣超第12名分點前1天買筆數,10
賣超第9名分點前2天買均價,10
買超第7名分點前6天買筆數,10
買超第14名分點前1天金額增減(千),10
賣超第4名分點前7天買均價,10
買超第11名分點前13天買均張,10
買超第8名分點前17天買張,10
買超第4名分點前15天買張,10
賣超第4名分點前7天賣張,10
買超第2名分點前8天賣均價,10
賣超第7名分點前17天賣筆數,10
買超第7名分點前15天金額增減(千),10
買超第2名分點前19天賣張,10
賣超第3名分點前14天賣筆數,10
買超第12名分點前20天金額增減(千),10
賣超第15名分點前14天金額增減(千),9
買超第3名分點前11天賣均價,9
買超第9名分點前5天買筆數,9
賣超第11名分點前1天買筆數,9
賣超第6名分點前20天賣筆數,9
賣超第5名分點前18天賣筆數,9
賣超第15名分點前5天賣均價,9
賣超第2名分點前18天金額增減(千),9
買超第12名分點前4天金額增減(千),9
賣超第10名分點前2天買筆數,9
賣超第10名分點前14天買均價,9
買超第4名分點前13天買筆數,9
買超第7名分點前11天買筆數,9
買超第15名分點前4天賣均值(千),9
賣超第3名分點前7天賣張,9
賣超第2名分點前9天買均價,9
買超第10名分點前12天張增減,9
買超第1名分點賣筆數,9
買超第13名分點前2天買筆數,9
賣超第13名分點前3天賣筆數,9
買超第3名分點前19天買筆數,9
買超第9名分點前7天買筆數,9
賣超第6名分點前3天賣筆數,9
賣超第10名分點前16天賣筆數,9
賣超第3名分點前1天買均價,9
買超第4名分點前5天買金額(千),9
買超第10名分點前7天買筆數,9
賣超第12名分點前1天買均價,9
買超第11名分點前15天賣均價,9
賣超第14名分點前17天金額增減(千),9
賣超第1名分點前4天買筆數,9
賣超第11名分點前18天買金額(千),9
賣超第12名分點前16天買均張,9
買超第3名分點前7天賣均價,9
買超第15名分點前10天賣均價,9
買超第5名分點前17天賣均價,9
買超第15名分點前11天買張,8
買超第11名分點前1天賣均價,8
買超第4名分點前20天賣筆數,8
賣超第3名分點前19天買筆數,8
賣超第10名分點前15天賣筆數,8
賣超第13名分點前7天買筆數,8
買超第11名分點前11天賣均價,8
賣超第13名分點前1天賣筆數,8
賣超第4名分點前6天賣筆數,8
買超第12名分點前5天賣均價,8
買超第2名分點前6天賣均值(千),8
賣超第6名分點前17天賣筆數,8
買超第3名分點前17天買筆數,8
賣超第4名分點前17天賣張,8
買超第6名分點賣均價,8
買超第6名分點前12天金額增減(千),8
賣超第1名分點前9天買均價,8
賣超第15名分點前19天賣筆數,8
賣超第7名分點前17天賣金額(千),8
買超第4名分點前8天賣均價,8
買超第4名分點前13天買金額(千),8
買超第13名分點前18天賣筆數,8
買超第5名分點前17天金額增減(千),8
買超第11名分點前4天買筆數,8
買超第12名分點前14天買均價,8
買超第5名分點前18天賣均價,8
買超第1名分點前9天買筆數,8
買超第14名分點前6天金額增減(千),8
買超第15名分點前4天買筆數,8
賣超第3名分點前9天賣張,8
買超第1名分點前16天賣筆數,8
賣超第13名分點前20天賣筆數,8
買超第13名分點前15天買金額(千),8
買超第13名分點前14天金額增減(千),8
買超第11名分點前16天金額增減(千),8
買超第6名分點前13天賣筆數,8
賣超第2名分點前7天金額增減(千),8
買超第12名分點前8天買筆數,8
賣超第14名分點前18天賣筆數,8
賣超第12名分點前10天賣張,8
賣超第1名分點前7天買均價,7
賣超第2名分點前2天買筆數,7
買超第13名分點前18天買均價,7
賣超第14名分點前12天買筆數,7
賣超第6名分點前6天賣均價,7
賣超第2名分點前8天買均價,7
買超第8名分點前19天買張,7
賣超第14名分點前18天賣均價,7
買超第6名分點前11天買筆數,7
賣超第14名分點前9天買筆數,7
買超第3名分點前8天賣均價,7
賣超第11名分點前11天賣筆數,7
買超第2名分點前11天買筆數,7
買超第14名分點前14天賣筆數,7
買超第11名分點前20天金額增減(千),7
買超第7名分點前16天金額增減(千),7
買超第12名分點前5天賣筆數,7
賣超第9名分點前18天賣筆數,7
賣超第11名分點前2天買均價,7
賣超第9名分點前15天賣筆數,7
買超第3名分點前11天買筆數,7
買超第10名分點前6天賣均價,7
賣超第2名分點前9天買筆數,7
賣超第9名分點前10天賣均張,7
買超第13名分點前20天買筆數,7
買超第12名分點前5天金額增減(千),7
賣超第7名分點前17天買均價,7
買超第4名分點前20天買筆數,7
買超第9名分點前11天買筆數,7
買超第6名分點前14天買張,7
賣超第11名分點前9天買筆數,7
賣超第15名分點前2天買筆數,7
買超第5名分點前17天買筆數,7
賣超第12名分點前7天賣張,7
買超第10名分點前15天賣筆數,7
賣超第11名分點前13天賣均價,7
買超第15名分點前17天買筆數,7
賣超第10名分點前11天賣均價,6
買超第11名分點前15天買筆數,6
賣超第9名分點前12天賣筆數,6
賣超第15名分點前1天賣均價,6
買超第13名分點前15天金額增減(千),6
買超第4名分點前15天賣筆數,6
買超第14名分點前17天賣筆數,6
賣超第12名分點前20天張增減,6
賣超第4名分點前12天張增減,6
賣超第13名分點前8天張增減,6
買超第14名分點前2天買筆數,6
買超第2名分點前9天買張,6
賣超第15名分點前8天張增減,6
買超第8名分點前14天買筆數,6
賣超第7名分點前3天賣金額(千),6
