dataset,feature,mean_abs_shap
chunk_2,賣超第12名分點前12天買均價,0.0382194561500858
chunk_3,賣超第14名分點前12天賣均張,0.037942308781357
chunk_2,買超第1名分點前8天券商代號,0.0379282413690744
chunk_1,外資券商_前5天分點出貨比(%),0.0379225912457422
chunk_3,買超第12名分點前11天買筆數,0.0378816341914009
chunk_2,買超第6名分點前19天賣筆數,0.0378405738544912
chunk_2,賣超第15名分點前8天張增減,0.0377933005957167
chunk_3,賣超第3名分點前12天賣均張,0.0377876153019508
chunk_2,買超第3名分點前15天券商代號,0.0377132096840571
chunk_3,買超第2名分點前9天買張,0.037558578336194
chunk_1,買超第5名分點前7天券商代號,0.0374489982739761
chunk_2,賣超第5名分點前6天買均價,0.0371947822868624
chunk_2,買超第10名分點買均張,0.0371235214439411
chunk_1,賣超第13名分點前14天賣均張,0.0371180455274901
chunk_2,賣超第2名分點賣筆數,0.0370561732825764
chunk_2,賣超第11名分點前9天賣均張,0.0370423742250026
chunk_2,賣超第11名分點前13天券商代號,0.0370366388329866
chunk_2,買超第2名分點前13天券商代號,0.0370078060279889
chunk_1,買超第13名分點前2天買筆數,0.0369541392224737
chunk_2,賣超第13名分點前3天賣筆數,0.0368798599904875
chunk_1,外資券商_前13天分點出貨比(%),0.0368480336089657
chunk_1,技術指標_年化波動度(21D),0.0368462962733491
chunk_2,賣超第11名分點前2天賣均價,0.0368352305012579
chunk_1,個股主力買賣超統計_近1日主力買賣超(%),0.0367573708025598
chunk_3,買超第1名分點前4天買筆數,0.0367563790859611
chunk_2,買超第10名分點前4天賣均價,0.0367240472046055
chunk_3,買超第3名分點前18天券商代號,0.0366843115081727
chunk_3,賣超第3名分點前18天賣均張,0.0365952577386865
chunk_2,賣超第13名分點前8天券商代號,0.0365546848005673
chunk_2,賣超第8名分點前16天賣均張,0.0365520887075389
